material,material_type,color_name,hex_code,hex_code_2,notes,source_file
ABS,,White,#FFFFFF,,,Bambu_ABS_Hex_Code_(1).pdf
ABS,,Bambu Green,#00AE42,,,Bambu_ABS_Hex_Code_(1).pdf
ABS,,Olive,#789D4A,,,Bambu_ABS_Hex_Code_(1).pdf
ABS,,Azure,#489FDF,,,Bambu_ABS_Hex_Code_(1).pdf
ABS,,Navy Blue,#0C2340,,,Bambu_ABS_Hex_Code_(1).pdf
ABS,,Blue,#0A2CA5,,,Bambu_ABS_Hex_Code_(1).pdf
ABS,,Tangerine Yellow,#FFC72C,,,Bambu_ABS_Hex_Code_(1).pdf
ABS,,Orange,#FF6A13,,,Bambu_ABS_Hex_Code_(1).pdf
ABS,,Red,#D32941,,,Bambu_ABS_Hex_Code_(1).pdf
ABS,,Purple,#AF1685,,,Bambu_ABS_Hex_Code_(1).pdf
ABS,,Silver,#87909A,,,Bambu_ABS_Hex_Code_(1).pdf
ABS,,Black,#000000,,,Bambu_ABS_Hex_Code_(1).pdf
PLA,Basic,Jade White,#FFFFFF,,,Bambu_PLA_Basic_Hex_Code.pdf
PLA,Basic,Beige,#F7E6DE,,,Bambu_PLA_Basic_Hex_Code.pdf
PLA,Basic,Light Gray,#D1D3D5,,,Bambu_PLA_Basic_Hex_Code.pdf
PLA,Basic,Silver,#A6A9AA,,,Bambu_PLA_Basic_Hex_Code.pdf
PLA,Basic,Gray,#8E9089,,,Bambu_PLA_Basic_Hex_Code.pdf
PLA,Basic,Magenta,#EC008C,,,Bambu_PLA_Basic_Hex_Code.pdf
PLA,Basic,Pink,#F55A74,,,Bambu_PLA_Basic_Hex_Code.pdf
PLA,Basic,Hot Pink,#F5547C,,,Bambu_PLA_Basic_Hex_Code.pdf
PLA,Basic,Orange,#FF6A13,,,Bambu_PLA_Basic_Hex_Code.pdf
PLA,Basic,Pumpkin Orange,#FF9016,,,Bambu_PLA_Basic_Hex_Code.pdf
PLA,Basic,Gold,#E4BD68,,,Bambu_PLA_Basic_Hex_Code.pdf
PLA,Basic,Sunflower Yellow,#FEC600,,,Bambu_PLA_Basic_Hex_Code.pdf
PLA,Basic,Yellow,#F4EE2A,,,Bambu_PLA_Basic_Hex_Code.pdf
PLA,Basic,Bright Green,#BECF00,,,Bambu_PLA_Basic_Hex_Code.pdf
PLA,Basic,Bambu Green,#00AE42,,,Bambu_PLA_Basic_Hex_Code.pdf
PLA,Basic,Mistletoe Green,#3F8E43,,,Bambu_PLA_Basic_Hex_Code.pdf
PLA,Basic,Bronze,#847D48,,,Bambu_PLA_Basic_Hex_Code.pdf
PLA,Basic,Cocoa Brown,#6F5034,,,Bambu_PLA_Basic_Hex_Code.pdf
PLA,Basic,Brown,#9D432C,,,Bambu_PLA_Basic_Hex_Code.pdf
PLA,Basic,Maroon Red,#9D2235,,,Bambu_PLA_Basic_Hex_Code.pdf
PLA,Basic,Red,#C12E1F,,,Bambu_PLA_Basic_Hex_Code.pdf
PLA,Basic,Turquoise,#00B1B7,,,Bambu_PLA_Basic_Hex_Code.pdf
PLA,Basic,Cyan,#0086D6,,,Bambu_PLA_Basic_Hex_Code.pdf
PLA,Basic,Blue,#0A2989,,,Bambu_PLA_Basic_Hex_Code.pdf
PLA,Basic,Cobalt Blue,#0056B8,,,Bambu_PLA_Basic_Hex_Code.pdf
PLA,Basic,Purple,#5E43B7,,,Bambu_PLA_Basic_Hex_Code.pdf
PLA,Basic,Indigo Purple,#482960,,,Bambu_PLA_Basic_Hex_Code.pdf
PLA,Basic,Blue Grey,#5B6579,,,Bambu_PLA_Basic_Hex_Code.pdf
PLA,Basic,Dark Gray,#545454,,,Bambu_PLA_Basic_Hex_Code.pdf
PLA,Basic,Black,#000000,,,Bambu_PLA_Basic_Hex_Code.pdf
PLA,Matte,Ivory White,#FFFFFF,,,Bambu_PLA_Matte_Hex_Code.pdf
PLA,Matte,Bone White,#CBC6B8,,,Bambu_PLA_Matte_Hex_Code.pdf
PLA,Matte,Desert Tan,#E8DBB7,,,Bambu_PLA_Matte_Hex_Code.pdf
PLA,Matte,Latte Brown,#D3B7A7,,,Bambu_PLA_Matte_Hex_Code.pdf
PLA,Matte,Caramel,#AE835B,,,Bambu_PLA_Matte_Hex_Code.pdf
PLA,Matte,Terracotta,#B15533,,,Bambu_PLA_Matte_Hex_Code.pdf
PLA,Matte,Dark Brown,#7D6556,,,Bambu_PLA_Matte_Hex_Code.pdf
PLA,Matte,Dark Chocolate,#4D3324,,,Bambu_PLA_Matte_Hex_Code.pdf
PLA,Matte,Lilac Purple,#AE96D4,,,Bambu_PLA_Matte_Hex_Code.pdf
PLA,Matte,Sakura Pink,#E8AFCF,,,Bambu_PLA_Matte_Hex_Code.pdf
PLA,Matte,Mandarin Orange,#F99963,,,Bambu_PLA_Matte_Hex_Code.pdf
