name,material_type,description,uv_resistant,flexible,high_strength,heat_resistant,food_safe,easy_to_print,budget_friendly,impact_resistant,requires_enclosure
ABS,,,,,,,,,,,
ABS,GF,,,,,,,,,,
ASA,,,,,,,,,,,
ASA,Aero,,,,,,,,,,
ASA,CF,,,,,,,,,,
PA6,CF,,,,,,,,,,
PA6,GF,,,,,,,,,,
PAHT,CF,,,,,,,,,,
PC,,,,,,,,,,,
PC,FR,,,,,,,,,,
PET,CF,,,,,,,,,,
PETG,Basic,,,,,,,,,,
PETG,CF,,,,,,,,,,
PETG,HF,,,,,,,,,,
PETG,Translucent,,,,,,,,,,
PLA,Aero,,,,,,,,,,
PLA,Basic,,,,,,,,,,
PLA,CF,,,,,,,,,,
PLA,Galaxy,,,,,,,,,,
PLA,Glow,,,,,,,,,,
PLA,Marble,,,,,,,,,,
PLA,Matte,,,,,,,,,,
PLA,Metal,,,,,,,,,,
PLA,Silk,,,,,,,,,,
PLA,Silk+,,,,,,,,,,
PLA,Sparkle,,,,,,,,,,
PLA,Translucent,,,,,,,,,,
PLA,Wood,,,,,,,,,,
PPS,CF,,,,,,,,,,
PVA,,,,,,,,,,,
Support,for ABS,,,,,,,,,,
Support,for PA/PET,,,,,,,,,,
Support,for PLA,,,,,,,,,,
Support,for PLA/PETG,,,,,,,,,,
TPU,85A,,,,,,,,,,
TPU,90A,,,,,,,,,,
TPU,95A HF,,,,,,,,,,
TPU,for AMS,,,,,,,,,,
